SET_NAME,YEAR,THEME,UNIQUE_PARTS,TOTAL_PARTS,UNIQUENESS
"T-Junction, Circle Plates",1990,Town,0,2,0.000000
X-wing Fighter - Mini (Kabaya Box),2004,Mini,0,18,0.000000
Story Starter (Sample Set),2014,Educational and Dacta,0,30,0.000000
Rig Racers,1998,Race,7,62,0.112903
Championship Challenge II,2002,Soccer,0,73,0.000000
Advent Calendar 2004 Clikits (Day 17) Bangle,2004,Clikits,0,2,0.000000
Vintage Car,1973,Factory,0,12,0.000000
Shell Service Station,1986,Station,0,99,0.000000
Ocean Odyssey,2005,Designer Sets,0,156,0.000000
Livi’s Pop Star House,2016,Friends,1,226,0.004425
Car,2000,Basic,0,10,0.000000
Basic Building Set,1985,Basic,0,1179,0.000000
Basic Building Set Trial Size,1994,Basic,1,17,0.058824
Track Marshal,2009,Tiny Turbos,0,28,0.000000
Green Baseplate,2015,Classic,0,1,0.000000
"MBA Level Three - Kit 9, The Dark Lair",2012,Master Building Academy,0,85,0.000000
Car & Camper,1985,Fabuland,0,18,0.000000
Spiders Set,2011,Halloween,0,14,0.000000
Christmas Tree Stand,2013,Creator,0,60,0.000000
Container Transport,1976,Boat,2,32,0.062500
Golden Die [TRU Exclusive],2009,Game,0,7,0.000000
The Mime™,2017,Batman,3,6,0.500000
Inter-City Passenger Train,1980,12V,1,120,0.008333
NXT Temperature Sensor,2009,NXT,1,1,1.000000
Victory Lap Raceway,1988,Race,1,228,0.004386
Gold Good Guy - looking Right (Duracell 8 pack AA) {Turaga Lhikan},2006,Bionicle,0,13,0.000000
Twin Starfire,1987,Classic Space,0,43,0.000000
Toa Hordika Whenua,2005,Toa Hordika,2,27,0.074074
Gas N' Wash Express,2001,Station,0,189,0.000000
X-wing Fighter,2006,Star Wars Episode 4/5/6,1,157,0.006369
A World of LEGO Mosaic 4 in 1,2007,Mosaic,0,25,0.000000
Wheels,2008,Supplemental,0,19,0.000000
Wreckage Road,2010,World Racers,0,126,0.000000
Advent Calendar 2005 City (Day 12) Train Worker,2005,City,0,8,0.000000
Skulzy,2016,Series 8,1,40,0.025000
Letters and Keyring,2005,Clikits,32,42,0.761905
Advent Calendar 2010 Kingdoms (Day 11) - Dungeon Cell Window with Handcuffs,2010,Castle,0,11,0.000000
Ambulance Plane,2016,Hospital,1,104,0.009615
Gali,2001,Toa,0,19,0.000000
Chirox,2008,Phantoka,1,24,0.041667
Pirate Ship,2006,Duplo,2,19,0.105263
Stone Chopper,2009,Power Miners,1,30,0.033333
T-16 Skyhopper,2003,Star Wars Episode 4/5/6,4,54,0.074074
Buzz's Star Command Spaceship,2010,Toy Story,0,85,0.000000
Small Store Set,1958,Town Plan,1,9,0.111111
T-Road Plates,1997,Supplemental,0,1,0.000000
Advent Calendar 2010 City (Day 11) Fireplace,2010,City,0,13,0.000000
Hot Rod Club,1994,Race,0,124,0.000000
2 x 2 Plates - Blue (cardboard box version),1962,Supplemental,0,1,0.000000
"Advent Calendar 2001, Creator (Day  2) Max",2001,Advent Sub-Set,0,1,0.000000
Train Station,2010,Train,0,128,0.000000
Road Repair Crew,1975,Construction,0,30,0.000000
1 x 16 Beams,2002,Technic,0,1,0.000000
Chef,2007,Creator,0,5,0.000000
Batman: Man-Bat Attack,2014,Batman,5,111,0.045045
Duplo Farm Polybag (farmer),2014,Duplo,0,5,0.000000
Holiday Elf - Complete Set,2013,Series 11 Minifigures,4,8,0.500000
Street Soccer,2006,Soccer,1,57,0.017544
Thunder Racer,2009,Tiny Turbos,0,30,0.000000
TECHNIC Pneumatic Piston Cylinder 48mm,1985,Technic,0,1,0.000000
TECHNIC beams - yellow,1982,Technic,0,2,0.000000
Hot Flame RC Car,2003,Radio Control,1,77,0.012987
Minifigure Presentation Boxes,2012,Gear,0,14,0.000000
Galactic Enforcer,2009,Space Police III,5,260,0.019231
"Buffers, Magnetic Couplers",1981,Train,0,3,0.000000
The Hobbit,2012,Game,11,63,0.174603
Burj Khalifa,2011,Architecture,1,22,0.045455
Pulleys (For micromotor pack of 10),2002,Technic,0,1,0.000000
Dinosaur,2004,Designer Sets,0,21,0.000000
Forestmen's River Fortress,1989,Forestmen,0,118,0.000000
"Advent Calendar 2014, Friends (Day 8) - Chairs",2014,Friends,0,4,0.000000
Robo Pod,2006,Creator,0,35,0.000000
Race Plane,2017,Airport,0,63,0.000000
Dirt Crusher RC,2004,Radio Control,0,25,0.000000
1 x 4 x 3 Train Window Clear,2000,Bulk Bricks,0,1,0.000000
Skull Scorpio,2015,Bionicle,1,47,0.021277
Jimi Stringer,2010,Heroes,1,11,0.090909
Rubber Bands and String,1999,Technic,0,5,0.000000
Tehutti,2004,Matoran of Metru Nui,2,16,0.125000
Battle Pack Pirates,2009,Pirates II,0,39,0.000000
Heroic Heroes of the Deep,2011,SpongeBob SquarePants,9,65,0.138462
Ninja Training Outpost,2011,Ninjago,0,40,0.000000
"LEGO Building Set D, Aircraft",1983,Basic Model,0,10,0.000000
Temple Escape,2008,Raiders of the Lost Ark,4,169,0.023669
Axle Extenders and Bushings,1995,Technic,0,5,0.000000
Monthly Mini Model Build January 2016 - Polar Bear,2016,Monthly Mini Model Build,0,19,0.000000
Advent Calendar 2005 City (Day 17) Oil Barrel & Hand Truck,2005,City,0,9,0.000000
Hopper Wagon,2001,My Own Train,0,46,0.000000
Advent Calendar 2008 City (Day 17) Mug Shot Studio,2008,City,0,9,0.000000
Ultimate Wheels (Kohl's Exclusive),2003,Designer Sets,0,201,0.000000
Microcopter,2000,Dino Island,0,48,0.000000
Belville Hospital Accessories,1996,Belville,0,3,0.000000
Santa,2016,Christmas,0,74,0.000000
Coca-Cola Hotdog Trolley,2002,Soccer,0,13,0.000000
Mini Fire Truck,2012,Creator,0,38,0.000000
Lighting Brick (System),1966,Supplemental,0,4,0.000000
Flyer,1997,UFO,0,13,0.000000
Lord Sam Sinister Chupa Chups Promotional,2003,Orient Expedition,0,6,0.000000
LEGO Easter Bunny,2014,Easter,0,48,0.000000
16 Road Signs,1958,Supplemental,5,21,0.238095
Mini Robots,2003,Designer Sets,0,112,0.000000
Track Racer,2008,Tiny Turbos,0,20,0.000000
Construction Crew,1997,Construction,0,31,0.000000
Supplementary Set,1976,Supplemental,1,20,0.050000
Creator Bulk,2003,Creator,0,45,0.000000
Attack on Lake-town,2014,The Battle of the Five Armies,6,148,0.040541
Manual Level Crossing,1996,9V,1,61,0.016393
Helicopter,1987,Airport,0,17,0.000000
Kraang Lab Escape,2013,Teenage Mutant Ninja Turtles,2,56,0.035714
Particle Ionizer,1990,M:Tron,0,106,0.000000
Passenger Wagon Blue (White Box),2002,My Own Train,0,40,0.000000
Kellogg's Promotional Set: Plane,1998,Basic Model,0,13,0.000000
NHL Action Set with Stickers,2003,Hockey,0,32,0.000000
Airport Building Set,2011,Airport,0,123,0.000000
Ambulance,2012,Hospital,0,107,0.000000
Droid Developer Kit,1999,Star Wars,4,135,0.029630
TECHNIC Beams and Plates [Red],1987,Technic,0,6,0.000000
Crystal Hawk,2008,Mars Mission,0,18,0.000000
Krog,2015,Series 5,0,36,0.000000
FIRST LEGO League Challenge 2004 - No Limits,2004,FIRST LEGO League,1,126,0.007937
Hula Dancer - Complete Set,2011,Series 3 Minifigures,0,7,0.000000
Ice Bear Mech,2015,Legends of Chima,0,24,0.000000
Large red bucket,2002,Basic Set,0,89,0.000000
LEGO Special Edition Creative Building Tub,2006,Basic Set,0,124,0.000000
Polar Explorer,2000,Arctic,0,22,0.000000
Advent Calendar 1999 (Day 13) Hovercraft,1999,Advent Sub-Set,0,8,0.000000
Expedition Balloon,1999,Jungle,3,84,0.035714
Cole's Dragon,2016,Ninjago,2,58,0.034483
Worker Robot,2001,Life On Mars,0,34,0.000000
Vintage Minifigure Collection Vol. 4 - 2012 Edition,2012,Collectible Minifigures,0,20,0.000000
Better Building More Fun,2004,Basic Set,0,150,0.000000
Robot's Revenge,1998,Competition,0,61,0.000000
Motorized Bulldozer,2007,Construction,0,173,0.000000
LEGO Japan Spinning Top,2004,Other,0,8,0.000000
Fire Truck,2008,Fire,0,38,0.000000
Turahk - With mini CD-ROM,2003,Rahkshi,1,22,0.045455
Chicken & Chicks,2005,Easter,0,31,0.000000
LEGO® Star Wars™ Advent Calendar,2015,Star Wars,1,213,0.004695
Speedboat,2006,Creator,0,18,0.000000
Sweepz,2016,Series 9,0,36,0.000000
Open Freight Wagon (White Box),2002,My Own Train,0,26,0.000000
Nocturn,2007,Warriors,2,42,0.047619
Fairground Mixer,2014,Creator,0,499,0.000000
Fire Engine,1964,Fire,0,27,0.000000
Blast Off Chopper with Bungee Cord Power!,1998,Competition,0,33,0.000000
Crawler Tracks,1977,Service Packs,0,1,0.000000
Nuhvok,2002,Bohrok,0,20,0.000000
Brickmaster Star Wars,2011,Gear,0,86,0.000000
"Advent Calendar 2012, Star Wars (Day 5) - Trade Federation MTT",2012,Star Wars,0,8,0.000000
Airplane,2003,Airport,0,20,0.000000
Stunt Race Track,2002,Track System,2,65,0.030769
TECHNIC Control Center,1990,Universal Building Set,2,98,0.020408
Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,2009,Star Wars Episode 4/5/6,0,16,0.000000
Spyder Slayer,1998,Competition,0,87,0.000000
Advent Calendar 2011 Star Wars (Day 23) - Christmas Tree,2011,Star Wars,0,13,0.000000
Bush,2001,Bulk Bricks,0,1,0.000000
Pony Grooming Kit,2016,Friends,0,21,0.000000
Bedroom,1985,Fabuland,0,12,0.000000
Bob's Workshop,2009,Duplo,4,12,0.333333
Advent Calendar 1998 Classic Basic (Day  8) Airplane,1998,Classic Basic,0,10,0.000000
Desert Ranger,1996,Off-Road,1,91,0.010989
